id,name,type,nutrition,value,unit,url,value_level
71,Cranberry Brie Bites,appetizer,Calories,95,kcal,https://www.justonecookbook.com/wp-content/uploads/2020/11/Cranberry-Brie-Bites-1119-I-500x500.jpg,-1.4375876555074412
72,Cranberry Brie Bites,appetizer,Protein,2,g,https://www.justonecookbook.com/wp-content/uploads/2020/11/Cranberry-Brie-Bites-1119-I-500x500.jpg,-1.6094379124341003
73,Cranberry Brie Bites,appetizer,Sodium,61,mg,https://www.justonecookbook.com/wp-content/uploads/2020/11/Cranberry-Brie-Bites-1119-I-500x500.jpg,-1.8805906829346708
74,Cranberry Brie Bites,appetizer,Potassium,20,mg,https://www.justonecookbook.com/wp-content/uploads/2020/11/Cranberry-Brie-Bites-1119-I-500x500.jpg,-3.5553480614894135
75,Cranberry Brie Bites,appetizer,Calcium,12,mg,https://www.justonecookbook.com/wp-content/uploads/2020/11/Cranberry-Brie-Bites-1119-I-500x500.jpg,-2.8134107167600364
76,Datemaki (Sweet Rolled Omelette),appetizer,Calories,46,kcal,https://www.justonecookbook.com/wp-content/uploads/2019/12/Datemaki-7141-500x500.jpg,-2.162823150618887
77,Datemaki (Sweet Rolled Omelette),appetizer,Protein,3,g,https://www.justonecookbook.com/wp-content/uploads/2019/12/Datemaki-7141-500x500.jpg,-1.2039728043259361
78,Datemaki (Sweet Rolled Omelette),appetizer,Sodium,88,mg,https://www.justonecookbook.com/wp-content/uploads/2019/12/Datemaki-7141-500x500.jpg,-1.5141277326297755
79,Datemaki (Sweet Rolled Omelette),appetizer,Potassium,24,mg,https://www.justonecookbook.com/wp-content/uploads/2019/12/Datemaki-7141-500x500.jpg,-3.373026504695459
80,Datemaki (Sweet Rolled Omelette),appetizer,Calcium,9,mg,https://www.justonecookbook.com/wp-content/uploads/2019/12/Datemaki-7141-500x500.jpg,-3.101092789211817
81,Edamame,appetizer,Calories,76,kcal,https://www.justonecookbook.com/wp-content/uploads/2018/09/Edamame-w600-400x400.jpg,-1.6607312068216509
82,Edamame,appetizer,Protein,7,g,https://www.justonecookbook.com/wp-content/uploads/2018/09/Edamame-w600-400x400.jpg,-0.35667494393873245
83,Edamame,appetizer,Sodium,6,mg,https://www.justonecookbook.com/wp-content/uploads/2018/09/Edamame-w600-400x400.jpg,-4.199705077879927
84,Edamame,appetizer,Potassium,272,mg,https://www.justonecookbook.com/wp-content/uploads/2018/09/Edamame-w600-400x400.jpg,-0.9452782687474074
85,Edamame,appetizer,Calcium,75,mg,https://www.justonecookbook.com/wp-content/uploads/2018/09/Edamame-w600-400x400.jpg,-0.9808292530117262
86,Egg Tofu (Tamago Tofu),appetizer,Calories,87,kcal,https://www.justonecookbook.com/wp-content/uploads/2021/10/Egg-Tofu-Tamago-Tofu-6139-I-500x500.jpg,-1.5255564284533982
87,Egg Tofu (Tamago Tofu),appetizer,Protein,7,g,https://www.justonecookbook.com/wp-content/uploads/2021/10/Egg-Tofu-Tamago-Tofu-6139-I-500x500.jpg,-0.35667494393873245
88,Egg Tofu (Tamago Tofu),appetizer,Sodium,470,mg,https://www.justonecookbook.com/wp-content/uploads/2021/10/Egg-Tofu-Tamago-Tofu-6139-I-500x500.jpg,0.16126814759612232
89,Egg Tofu (Tamago Tofu),appetizer,Potassium,72,mg,https://www.justonecookbook.com/wp-content/uploads/2021/10/Egg-Tofu-Tamago-Tofu-6139-I-500x500.jpg,-2.2744142160273495
90,Egg Tofu (Tamago Tofu),appetizer,Calcium,29,mg,https://www.justonecookbook.com/wp-content/uploads/2021/10/Egg-Tofu-Tamago-Tofu-6139-I-500x500.jpg,-1.9310215365615626
